Wall time,Step,Value
1524036467.8099458,1,1.4031251668930054
1524036469.2068655,2,0.9566964507102966
1524036470.6025124,3,0.9905810952186584
1524036471.9942465,4,0.9537864923477173
1524036473.386368,5,0.8808265924453735
1524036474.7803998,6,1.0237290859222412
1524036476.1804774,7,1.053174614906311
1524036477.5720496,8,0.9118022918701172
1524036478.9719646,9,0.8751959204673767
1524036480.3646047,10,0.978274941444397
1524036481.7623065,11,1.0088266134262085
1524036483.1564267,12,0.9022008180618286
1524036484.5623019,13,0.9374498128890991
1524036485.9654624,14,0.9363062381744385
1524036487.369483,15,0.9685856103897095
1524036488.7713382,16,1.0340529680252075
1524036490.1632547,17,0.9601658582687378
1524036491.5534332,18,0.8891556262969971
1524036492.9506578,19,1.0647990703582764
1524036494.3463748,20,0.8567061424255371
1524036495.737341,21,0.9500200748443604
1524036497.145063,22,0.9880195260047913
1524036498.5395806,23,0.9845790266990662
1524036499.9347541,24,0.9779750108718872
1524036501.32913,25,0.9377338290214539
1524036502.7223034,26,0.9405034184455872
1524036504.1242208,27,0.9627163410186768
1524036505.528733,28,0.9645686149597168
1524036506.9325266,29,0.8955407738685608
1524036508.3402672,30,0.965265154838562
1524036509.7310221,31,0.8059530854225159
1524036511.1223545,32,0.9916660189628601
1524036512.518395,33,0.9779106378555298
1524036513.9186304,34,0.9187526106834412
1524036515.3206246,35,0.9121440052986145
1524036516.7237995,36,0.8993356227874756
1524036518.136827,37,0.8287569284439087
1524036519.5581732,38,0.9247909784317017
1524036520.974661,39,0.9659518003463745
1524036522.387374,40,0.9145939350128174
1524036523.798584,41,0.944473147392273
1524036525.21778,42,0.8898049592971802
1524036526.627998,43,0.8411757946014404
1524036528.025878,44,0.8736071586608887
1524036529.4183166,45,0.8584162592887878
1524036530.8405566,46,0.8257891535758972
1524036532.2518778,47,0.7498100996017456
1524036533.6792235,48,0.9163320660591125
1524036535.084635,49,0.8809627890586853
1524036536.502797,50,0.843258798122406
1524036537.9129188,51,0.775390088558197
1524036539.3249822,52,0.9126341938972473
1524036540.7384093,53,0.7886530756950378
1524036542.1592395,54,0.8399335145950317
1524036543.5720649,55,0.7810794711112976
1524036544.9751456,56,0.8339765667915344
1524036546.374968,57,0.802970826625824
1524036547.7746005,58,0.8174003958702087
1524036549.1799967,59,0.8006782531738281
1524036550.569486,60,0.6374730467796326
1524036551.9683247,61,0.6763008832931519
1524036553.371467,62,0.713575541973114
1524036554.7683086,63,0.8059647083282471
1524036556.1682377,64,0.7075852155685425
1524036557.579586,65,0.7420879006385803
1524036558.9768379,66,0.7705129384994507
1524036560.3717482,67,0.7038522958755493
1524036561.7634332,68,0.5844354033470154
1524036563.1658545,69,0.7796359062194824
1524036564.5644603,70,0.6893772482872009
1524036565.9615314,71,0.6557722687721252
1524036567.3703163,72,0.6989290118217468
1524036568.751467,73,0.6586300730705261
1524036570.1432765,74,0.6130526065826416
